City	Type	Month	Value
Shanghai	Temp	1	4
Shanghai	Temp	2	5
Shanghai	Temp	3	8
Shanghai	Temp	4	15
Shanghai	Temp	5	20
Shanghai	Temp	6	23
Shanghai	Temp	7	28
Shanghai	Temp	8	27
Shanghai	Temp	9	23
Shanghai	Temp	10	18
Shanghai	Temp	11	12
Shanghai	Temp	12	6
Shanghai	Rain	1	40
Shanghai	Rain	2	60
Shanghai	Rain	3	80
Shanghai	Rain	4	90
Shanghai	Rain	5	100
Shanghai	Rain	6	170
Shanghai	Rain	7	140
Shanghai	Rain	8	130
Shanghai	Rain	9	130
Shanghai	Rain	10	60
Shanghai	Rain	11	50
Shanghai	Rain	12	30
Beijing	Temp	1	-3
Beijing	Temp	2	0
Beijing	Temp	3	6
Beijing	Temp	4	13
Beijing	Temp	5	20
Beijing	Temp	6	24
Beijing	Temp	7	26
Beijing	Temp	8	25
Beijing	Temp	9	20
Beijing	Temp	10	13
Beijing	Temp	11	5
Beijing	Temp	12	-1
Beijing	Rain	1	0
Beijing	Rain	2	0
Beijing	Rain	3	0
Beijing	Rain	4	10
Beijing	Rain	5	30
Beijing	Rain	6	70
Beijing	Rain	7	220
Beijing	Rain	8	170
Beijing	Rain	9	50
Beijing	Rain	10	10
Beijing	Rain	11	10
Beijing	Rain	12	0
Guangzhou	Temp	1	14
Guangzhou	Temp	2	15
Guangzhou	Temp	3	18
Guangzhou	Temp	4	22
Guangzhou	Temp	5	26
Guangzhou	Temp	6	27
Guangzhou	Temp	7	28
Guangzhou	Temp	8	28
Guangzhou	Temp	9	27
Guangzhou	Temp	10	24
Guangzhou	Temp	11	20
Guangzhou	Temp	12	15
Guangzhou	Rain	1	40
Guangzhou	Rain	2	60
Guangzhou	Rain	3	90
Guangzhou	Rain	4	170
Guangzhou	Rain	5	260
Guangzhou	Rain	6	260
Guangzhou	Rain	7	240
Guangzhou	Rain	8	230
Guangzhou	Rain	9	150
Guangzhou	Rain	10	60
Guangzhou	Rain	11	40
Guangzhou	Rain	12	30
China	Flu	1	3504
China	Flu	2	2553.5
China	Flu	3	1962
China	Flu	4	1040.5
China	Flu	5	683.25
China	Flu	6	1269.75
China	Flu	7	1975.25
China	Flu	8	1454.25
China	Flu	9	750
China	Flu	10	227.25
China	Flu	11	193
China	Flu	12	136.5

