	2015 week: 1	2015 week: 2	2015 week: 3	2015 week: 4	2015 week: 5	2015 week: 6	2015 week: 7	2015 week: 8	2015 week: 9	2015 week: 10	2015 week: 11	2015 week: 12	2015 week: 13	2015 week: 14	2015 week: 15	2015 week: 16	2015 week: 17	2015 week: 18	2015 week: 19	2015 week: 20	2015 week: 21	2015 week: 22	2015 week: 23	2015 week: 24	2015 week: 25	2015 week: 26	2015 week: 27	2015 week: 28	2015 week: 29	2015 week: 30	2015 week: 31	2015 week: 32	2015 week: 33	2015 week: 34	2015 week: 35	2015 week: 36	2015 week: 37	2015 week: 38	2015 week: 39	2015 week: 40	2015 week: 41	2015 week: 42	2015 week: 43	2015 week: 44	2015 week: 45	2015 week: 46	2015 week: 47	2015 week: 48	2015 week: 49	2015 week: 50	2015 week: 51	2015 week: 52	2015 week: 53
Afghanistan	1	1	0	4	 	0	0	0	0	0	0	0	0	 	1	1	0	0	0	0	 	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	 	4	 	 
Albania	4	2	3	15	30	 	 	3	3	1	5	0	2	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Algeria	14	24	28	34	62	54	41	47	27	10	9	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	0	0	0	 	 	0	 	 	0	0	0	1	1	1	8	 
Argentina	2	2	0	1	0	1	0	1	1	2	1	2	3	4	1	0	1	4	7	4	7	19	26	34	41	58	70	163	98	196	207	213	196	193	178	113	97	73	 	47	25	19	15	18	28	19	7	10	5	3	 	 	 
Australia	20	24	18	18	24	22	30	20	22	20	20	29	34	21	25	39	40	24	41	42	41	62	67	62	80	144	129	128	157	157	198	171	246	179	165	159	182	164	110	85	64	39	25	14	 	 	 	 	 	 	 	 	 
Austria	39	82	195	171	288	316	333	282	227	192	140	93	52	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Azerbaijan	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bahrain	4	4	4	2	3	9	8	16	7	4	2	3	2	4	2	2	3	2	2	5	2	2	3	3	1	1	0	0	0	0	2	0	1	0	0	2	2	5	13	10	58	104	120	87	43	25	15	16	19	9	16	8	 
Bangladesh	0	0	0	0	5	1	3	0	10	2	7	5	4	6	7	12	16	20	31	26	33	35	34	23	43	41	56	25	20	26	35	29	19	21	17	13	14	10	6	9	11	2	0	10	7	7	0	4	2	2	6	4	 
Belarus	11	19	43	69	76	70	75	37	40	31	22	15	20	10	1	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Belgium	41	55	55	77	74	67	24	16	17	14	13	11	6	0	0	0	0	1	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bhutan	0	0	0	3	1	14	15	12	6	21	19	21	12	13	6	4	12	12	8	2	2	0	2	3	0	2	5	8	0	3	7	0	4	1	1	4	1	3	3	8	1	1	2	0	2	1	1	2	4	1	2	1	 
Bolivia	0	0	0	1	0	0	1	1	1	0	0	0	3	5	2	2	2	1	3	2	4	7	11	9	5	6	5	2	4	3	3	4	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Brazil	11	11	12	6	9	21	11	8	16	17	20	26	22	15	23	26	29	45	59	65	63	44	33	27	35	19	23	22	19	28	26	21	9	11	16	16	22	 	14	9	12	11	10	3	9	18	19	6	11	22	8	23	 
Bulgaria	1	4	30	36	28	18	7	34	21	8	11	5	9	8	2	4	1	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Burkina Faso	0	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Cambodia	0	1	0	0	1	1	1	0	2	0	2	2	3	0	1	2	1	1	1	0	1	6	11	8	4	16	14	17	19	14	12	18	15	10	7	4	2	7	3	1	2	3	6	4	4	5	4	5	11	8	4	4	 
Cameroon	3	3	1	4	5	5	9	11	8	15	39	12	47	27	43	12	12	14	19	8	7	3	5	1	1	2	1	4	3	2	3	4	4	1	2	8	4	11	10	11	 	13	22	17	5	19	17	6	22	1	4	5	 
Canada	4232	3830	2934	2036	1884	1628	1488	1261	1124	1066	1018	1044	796	747	740	559	416	317	233	143	92	64	64	42	58	16	6	13	10	13	14	6	13	8	9	17	16	29	58	53	37	26	30	40	68	88	55	30	63	96	115	183	 
Central African Republic	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Chile	1	3	3	10	0	0	5	5	3	1	3	3	1	1	1	2	5	0	1	6	9	4	9	15	22	46	67	44	73	87	106	123	164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
China	3314	3319	3671	3712	3174	2671	2062	2307	2068	2127	1930	1723	1342	1076	832	912	754	711	622	646	658	1068	1489	1864	1977	2305	1971	1648	1669	1613	1374	1161	982	926	606	486	318	225	164	202	 	237	170	172	176	97	 	 	 	 	 	 	 
Colombia	18	26	24	26	21	22	21	13	9	7	6	6	5	5	5	6	8	5	7	7	7	6	4	5	5	3	3	3	5	5	5	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Costa Rica	10	3	8	3	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Croatia	44	106	115	96	127	153	130	129	76	55	33	17	33	7	3	0	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Cuba	2	6	11	5	5	5	3	8	3	9	3	3	0	5	5	2	1	1	6	0	4	3	3	12	10	24	24	31	37	34	37	22	26	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Czech Republic	14	20	35	60	109	110	86	81	49	29	36	21	19	 	10	11	4	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Côte d'Ivoire	1	4	2	2	0	3	15	2	0	1	4	3	6	3	4	13	9	7	9	8	6	4	4	14	9	22	13	9	13	9	8	2	5	4	2	4	1	6	4	6	8	5	3	3	3	2	1	7	5	5	1	2	 
Democratic Republic of the Congo	4	17	7	9	2	1	0	0	2	2	0	1	2	4	1	3	6	7	6	4	23	13	14	12	16	12	9	3	0	1	0	0	1	1	0	0	0	0	0	1	1	4	4	0	8	6	0	0	0	3	3	0	 
Denmark	15	26	17	57	117	201	231	306	318	299	259	232	123	111	73	42	31	21	21	18	8	9	10	5	4	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Dominican Republic	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	1	2	5	0	0	0	2	1	1	0	1	1	1	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Ecuador	2	7	6	4	5	1	5	4	3	4	0	1	0	3	2	0	2	1	3	4	2	3	7	3	2	1	7	4	3	0	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Egypt	107	67	100	87	46	40	45	48	46	54	23	31	47	28	20	11	21	12	10	9	5	6	6	8	5	6	 	0	2	10	3	2	2	0	7	3	0	0	8	23	4	2	1	3	4	15	17	15	52	103	182	281	 
El Salvador	0	4	4	1	3	1	1	0	1	1	2	1	0	1	2	0	1	0	1	2	2	2	0	5	5	1	2	4	1	3	1	2	0	0	0	1	0	0	2	1	0	1	5	4	4	2	6	3	2	1	3	0	 
Estonia	5	6	44	57	86	90	79	85	65	67	24	24	32	35	19	 	16	7	5	2	1	0	0	1	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Ethiopia	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Fiji	0	0	0	0	0	1	0	3	3	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	3	6	3	6	2	6	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Finland	6	11	12	12	14	7	8	13	16	6	2	5	6	3	1	4	1	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
France	302	504	788	1207	1837	2358	2484	1919	1174	730	447	304	232	127	34	28	26	5	5	1	2	3	0	0	3	0	0	0	0	1	1	0	0	0	1	0	1	1	0	9	18	5	13	10	6	7	5	10	17	33	30	36	199
French Guiana	0	1	0	0	3	3	5	11	16	2	8	13	10	10	6	2	4	0	2	1	5	5	4	3	8	11	9	7	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 
Georgia	2	8	4	10	13	27	13	19	8	6	4	10	2	0	0	1	1	1	0	0	0	0	1	0	0	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Germany	55	85	127	153	164	204	203	204	156	118	76	66	31	21	12	6	10	2	1	0	0	0	2	0	1	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Ghana	5	1	1	0	2	1	1	4	1	2	7	11	19	22	30	24	32	16	22	11	5	13	24	14	16	9	9	8	3	8	5	3	4	7	6	 	5	1	12	3	3	2	1	1	2	7	6	3	4	11	5	0	 
